Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code,User,Time_of_Day,Date
12/01/2020 at 10:02:16 pm EST,Crewmate,Loss,4,No,Yes,04m 51s,No,0.0,-,,NA / DGBXDF,2,Evening,12/01/2020
12/01/2020 at 8:04:46 pm EST,Crewmate,Loss,4,No,Yes,05m 51s,No,1.0,-,---,NA / YBWFVF,2,Evening,12/01/2020
12/01/2020 at 7:51:30 pm EST,Crewmate,Win,8,Yes,No,14m 10s,No,0.0,11m 16s,++,NA / YBWFVF,2,Evening,12/01/2020
12/01/2020 at 7:33:10 pm EST,Crewmate,Loss,7,No,Yes,09m 50s,No,3.0,-,---,NA / GOBKUF,2,Evening,12/01/2020
11/30/2020 at 8:28:21 pm EST,Crewmate,Loss,9,Yes,Yes,11m 11s,No,0.0,10m 30s,--,NA / XRNUJF,2,Evening,11/30/2020
11/30/2020 at 8:16:14 pm EST,Crewmate,Win,9,Yes,No,11m 09s,No,2.0,04m 20s,++,NA / XRNUJF,2,Evening,11/30/2020
11/30/2020 at 8:04:06 pm EST,Crewmate,Win,8,No,No,11m 51s,No,1.0,-,++,NA / XRNUJF,2,Evening,11/30/2020
11/30/2020 at 7:46:29 pm EST,Crewmate,Loss,6,No,Yes,07m 50s,No,1.0,-,---,NA / XRNUJF,2,Evening,11/30/2020
11/30/2020 at 5:00:20 am EST,Crewmate,Loss,7,Yes,Yes,12m 54s,No,2.0,12m 10s,--,NA / QZNNIF,2,Night,11/30/2020
11/30/2020 at 4:45:39 am EST,Crewmate,Win,7,Yes,No,06m 39s,No,2.0,02m 50s,++,NA / QZNNIF,2,Night,11/30/2020
11/30/2020 at 4:31:33 am EST,Crewmate,Loss,7,Yes,Yes,20m 20s,No,2.0,05m 11s,--,NA / LBVIVF,2,Night,11/30/2020
11/30/2020 at 4:08:23 am EST,Crewmate,Loss,2,No,No,04m 30s,No,0.0,-,,NA / LBVIVF,2,Night,11/30/2020
11/30/2020 at 3:55:21 am EST,Crewmate,Loss,4,No,Yes,03m 48s,No,0.0,-,,NA / EMEYMF,2,Night,11/30/2020
11/30/2020 at 3:47:24 am EST,Crewmate,Win,1,No,No,13m 39s,No,2.0,-,++,NA / DJRQJF,2,Night,11/30/2020
11/30/2020 at 3:30:49 am EST,Crewmate,Loss,8,Yes,Yes,12m 37s,No,0.0,08m 39s,--,NA / DJRQJF,2,Night,11/30/2020
12/13/2020 at 1:43:34 am EST,Crewmate,Win,1,No,No,03m 46s,No,0.0,-,,NA / SEOHXQ,3,Night,12/13/2020
12/13/2020 at 1:39:23 am EST,Crewmate,Win,1,No,No,01m 47s,No,0.0,-,,NA / SEOHXQ,3,Night,12/13/2020
