User,Team,Outcome,Game Length,Imposter Kills,Ejected,Night,Morning,Afternoon,Evening
15,0,0,685,3,1,0,0,1,0
15,0,1,556,3,0,0,0,1,0
15,0,1,353,3,0,0,0,0,1
16,0,1,398,1,0,1,0,0,0
16,0,1,544,2,0,1,0,0,0
16,0,1,469,1,0,1,0,0,0
16,0,1,630,3,0,1,0,0,0
16,0,1,943,2,0,1,0,0,0
16,0,1,955,4,0,1,0,0,0
16,0,1,541,3,0,1,0,0,0
16,0,1,725,3,0,1,0,0,0
16,0,1,488,1,0,1,0,0,0
16,0,1,1005,4,0,1,0,0,0
16,0,1,783,2,0,0,0,0,1
16,0,1,545,3,0,1,0,0,0
16,0,0,671,3,0,1,0,0,0
16,0,1,253,2,0,1,0,0,0
17,0,1,157,3,0,0,0,1,0
17,0,1,66,1,0,0,0,1,0
17,0,1,181,1,0,0,0,1,0
17,0,0,110,0,1,0,0,1,0
17,0,1,31,1,0,0,0,1,0
17,0,1,205,2,0,0,0,1,0
17,0,1,324,3,0,0,0,1,0
17,0,1,119,1,0,0,0,1,0
17,0,1,624,2,0,0,1,0,0
17,0,1,451,2,0,0,1,0,0
17,0,1,417,3,0,0,1,0,0
17,0,0,167,1,1,0,1,0,0
17,0,1,151,1,0,0,1,0,0
17,0,1,287,1,0,0,0,1,0
17,0,1,619,1,0,0,0,1,0
17,0,0,463,0,1,0,0,1,0
18,0,0,853,3,0,0,0,0,1
18,0,1,729,5,0,0,0,1,0
18,0,0,575,1,0,0,0,1,0
18,0,0,663,1,0,0,0,1,0
18,0,0,662,1,0,0,0,1,0
18,0,0,295,1,0,0,0,1,0
18,0,0,989,2,0,0,0,1,0
18,0,0,426,2,1,0,1,0,0
18,0,0,942,1,0,0,0,1,0
18,0,0,111,2,1,0,0,1,0
18,0,1,559,3,0,0,0,1,0
18,0,1,840,2,0,0,0,1,0
18,0,0,565,2,0,0,0,1,0
18,0,0,732,3,0,0,0,1,0
18,0,0,1032,2,0,0,1,0,0
18,0,1,534,2,0,0,1,0,0
18,0,1,737,3,0,0,0,0,1
18,0,0,706,3,0,0,0,1,0
19,0,1,437,4,0,0,0,1,0
19,0,0,736,1,1,0,0,1,0
19,0,0,720,3,0,0,0,0,1
19,0,0,720,3,0,0,0,0,1
19,0,0,596,2,0,0,0,0,1
19,0,0,596,2,0,0,0,0,1
