User,Team,Outcome,Game Length,Task Completed,All Tasks Completed,Time to complete all tasks,Sabotages Fixed,Murdered,Ejected,Night,Morning,Afternoon,Evening
2,1,1,872,7,1,558,2.0,0,0,0,0,1,0
2,1,0,430,6,0,0,1.0,0,0,0,0,0,1
2,1,0,782,9,1,555,1.0,1,0,0,0,0,1
2,1,1,800,9,1,465,0.0,1,0,0,0,0,1
2,1,1,866,9,1,687,0.0,0,0,0,0,0,1
2,1,0,464,3,0,0,0.0,1,0,0,0,0,1
2,1,0,1010,9,1,513,0.0,1,0,0,0,0,1
2,1,0,378,2,0,0,0.0,0,0,0,0,1,0
2,1,0,527,7,1,356,0.0,1,0,0,0,1,0
2,1,1,480,6,0,0,2.0,0,0,1,0,0,0
2,1,1,965,8,1,443,0.0,0,0,1,0,0,0
2,1,1,631,7,0,0,0.0,0,0,1,0,0,0
2,1,0,1013,8,1,413,0.0,1,0,1,0,0,0
2,1,0,783,7,1,408,0.0,0,0,1,0,0,0
2,1,1,843,7,1,704,0.0,1,0,1,0,0,0
2,1,1,1157,7,1,284,2.0,0,0,1,0,0,0
2,1,0,510,5,0,0,0.0,1,0,0,0,0,1
2,1,1,602,7,0,0,0.0,0,0,0,0,0,1
2,1,1,929,8,1,654,1.0,0,0,0,0,0,1
2,1,1,646,4,0,0,0.0,0,0,0,0,0,1
2,1,0,688,2,0,0,0.0,1,0,0,0,0,1
2,1,0,1131,6,0,0,2.0,0,0,0,0,0,1
2,1,0,350,3,0,0,1.0,1,0,0,0,0,1
2,1,0,855,4,0,0,0.0,1,0,0,0,1,0
2,1,1,608,7,1,352,0.0,0,0,0,0,1,0
2,1,1,501,6,0,0,1.0,0,0,1,0,0,0
2,1,0,663,8,1,514,2.0,1,0,1,0,0,0
2,1,1,638,7,1,339,0.0,1,0,1,0,0,0
2,1,0,553,6,0,0,0.0,0,0,1,0,0,0
2,1,0,864,8,1,525,2.0,0,0,0,0,0,1
2,1,1,804,7,1,491,1.0,0,0,0,0,0,1
2,1,1,413,1,0,0,0.0,0,1,0,0,0,1
2,1,1,1600,8,1,891,4.0,0,0,0,0,0,1
2,1,1,1105,8,1,743,0.0,0,1,0,0,0,1
2,1,0,955,8,1,739,0.0,1,0,0,0,0,1
2,1,0,558,4,0,0,1.0,1,0,0,0,0,1
2,1,1,303,5,1,263,0.0,1,0,0,0,0,1
2,1,1,199,3,0,0,0.0,1,0,1,0,0,0
2,1,0,365,6,0,0,0.0,1,0,1,0,0,0
2,1,0,306,0,0,0,0.0,0,0,1,0,0,0
2,1,0,18,0,0,0,0.0,0,0,0,0,0,1
2,1,1,292,5,0,0,0.0,0,0,0,0,0,1
2,1,1,679,8,1,339,0.0,1,0,1,0,0,0
2,1,0,300,2,0,0,0.0,1,0,1,0,0,0
2,1,0,679,8,1,460,1.0,0,0,1,0,0,0
2,1,1,359,2,0,0,1.0,1,0,1,0,0,0
2,1,1,268,1,0,0,1.0,0,0,1,0,0,0
2,1,0,177,7,0,0,0.0,1,0,1,0,0,0
2,1,0,291,4,0,0,0.0,1,0,0,0,0,1
2,1,0,351,4,0,0,1.0,1,0,0,0,0,1
2,1,1,850,8,1,676,0.0,0,0,0,0,0,1
2,1,0,590,7,0,0,3.0,1,0,0,0,0,1
2,1,0,671,9,1,630,0.0,1,0,0,0,0,1
2,1,1,669,9,1,260,2.0,0,0,0,0,0,1
2,1,1,711,8,0,0,1.0,0,0,0,0,0,1
2,1,0,470,6,0,0,1.0,1,0,0,0,0,1
2,1,0,774,7,1,730,2.0,1,0,1,0,0,0
2,1,1,399,7,1,170,2.0,0,0,1,0,0,0
2,1,0,1220,7,1,311,2.0,1,0,1,0,0,0
2,1,0,270,2,0,0,0.0,0,0,1,0,0,0
2,1,0,228,4,0,0,0.0,1,0,1,0,0,0
2,1,1,819,1,0,0,2.0,0,0,1,0,0,0
2,1,0,757,8,1,519,0.0,1,0,1,0,0,0
3,1,1,226,1,0,0,0.0,0,0,1,0,0,0
3,1,1,107,1,0,0,0.0,0,0,1,0,0,0
3,1,0,430,6,0,0,1.0,1,0,1,0,0,0
3,1,1,1157,7,0,0,0.0,0,0,1,0,0,0
3,1,1,681,8,1,680,1.0,0,0,1,0,0,0
3,1,0,148,4,0,0,1.0,0,0,1,0,0,0
3,1,0,988,8,1,652,0.0,1,0,1,0,0,0
3,1,0,749,8,1,688,1.0,1,0,0,0,0,1
3,1,0,727,3,0,0,0.0,0,1,0,0,0,1
3,1,1,1051,4,0,0,0.0,0,1,0,0,0,1
3,1,1,580,4,0,0,1.0,0,0,0,0,1,0
3,1,0,813,3,0,0,3.0,1,0,0,0,1,0
3,1,1,1080,6,0,0,0.0,1,0,0,0,1,0
3,1,1,713,8,1,706,0.0,1,0,0,0,1,0
3,1,1,944,8,1,941,0.0,1,0,0,0,1,0
3,1,1,724,4,0,0,0.0,0,0,0,0,1,0
3,1,0,626,3,0,0,0.0,1,0,0,0,1,0
3,1,0,1061,5,0,0,1.0,1,0,0,0,1,0
3,1,0,558,5,0,0,1.0,1,0,0,0,1,0
3,1,1,275,1,0,0,0.0,0,0,0,0,1,0
3,1,1,440,1,0,0,1.0,0,0,0,0,1,0
3,1,0,1012,6,1,573,0.0,0,0,1,0,0,0
3,1,1,686,6,1,333,0.0,0,0,1,0,0,0
3,1,1,519,6,1,519,0.0,0,0,0,0,0,1
3,1,1,861,4,0,0,1.0,0,0,0,0,0,1
3,1,0,645,6,0,0,1.0,0,0,0,0,0,1
3,1,0,938,8,1,937,5.0,1,0,0,0,0,1
3,1,0,682,8,1,681,1.0,1,0,0,0,0,1
3,1,1,1208,6,0,0,2.0,0,0,0,0,0,1
3,1,0,632,4,0,0,2.0,1,0,0,0,0,1
3,1,0,208,3,0,0,2.0,0,0,0,0,0,1
3,1,0,201,1,0,0,1.0,0,0,0,0,0,1
3,1,1,413,4,0,0,0.0,1,0,0,0,0,1
3,1,1,1072,8,1,1071,1.0,0,0,0,0,0,1
3,1,1,455,8,1,349,1.0,0,0,0,0,0,1
3,1,1,612,6,0,0,1.0,1,0,0,0,0,1
3,1,1,1019,7,0,0,1.0,0,0,0,0,0,1
3,1,1,924,9,1,701,1.0,1,0,0,0,0,1
3,1,1,974,2,0,0,1.0,0,0,0,0,0,1
3,1,0,708,9,1,674,0.0,1,0,0,0,0,1
3,1,1,887,9,1,697,0.0,1,0,0,0,0,1
3,1,0,792,5,0,0,0.0,1,0,0,0,1,0
3,1,1,803,6,0,0,1.0,0,0,0,0,1,0
3,1,1,597,4,0,0,0.0,1,0,0,0,1,0
3,1,1,783,4,0,0,1.0,1,0,0,0,1,0
3,1,0,614,3,0,0,0.0,1,0,0,0,1,0
3,1,0,541,7,1,305,0.0,0,0,0,0,1,0
3,1,1,628,1,0,0,1.0,0,0,0,0,1,0
